NUTS_ID,CompanyName,Subsector,Emissions_ETS_2014,Production,Fuel_Demand,Cluster
DE214,Wacker Chemie AG,Chemical industry,14752.0,,,DE2
DE214,OMV Deutschland GmbH,Refineries,975544.0,,,DE2
DE219,Gunvor Raffinerie Ingolstadt GmbH,Refineries,711890.0,,,DE2
DE21I,LEIPA Georg Leinfelder GmbH,Paper and printing,101664.0,,597.52,DE2
DE21J,Basell Polyolefine GmbH,Chemical industry,421267.0,,,DE2
DE21K,Südbayerisches Portland-Zementwerk Gebr. Wiesböck & Co. GmbH,Cement,730492.0,1060264.41,1030.81,DE2
DE21N,"UPM GmbH, Werk Schongau",Paper and printing,1290.0,,7.58,DE2
DE224,MD Papier GmbH,Paper and printing,34392.0,132308.86,202.13,DE2
DE226,Fels-Werke GmbH,Cement,305531.0,,,DE2
DE232,HeidelbergCement AG,Cement,178704.0,,,DE2
DE237,Pilkington Deutschland AG,Glass,229441.0,404199.4,1226.07,DE2
DE239,HeidelbergCement AG,Cement,902951.0,1310578.09,1274.17,DE2
DE23A,Schott-Rohrglas GmbH,Glass,87422.0,,,DE2
DE24A,Neue Glaswerke Grossbreitenbach GmbH & Co.KG,Glass,99250.0,166990.71,268.11,DE2
DE25C,Solnhofer Portland-Zementwerke GmbH & Co.KG,Cement,314235.0,456092.86,443.42,DE2
DE261,DS Smith Paper Deutschland GmbH,Paper and printing,,,,DE2
DE264,Sappi Deutschland Holding GmbH,Paper and printing,342838.0,1318926.06,2015.02,DE2
DE26A,HeidelbergCement AG,Cement,590041.0,856408.38,832.61,DE2
DE26A,Schwenk Zement KG,Cement,587064.0,852087.45,828.41,DE2
DE271,"UPM GmbH, Werk Augsburg",Paper and printing,118691.0,456614.06,697.6,DE2
DE276,Lech-Stahlwerke GmbH,Iron and steel,143924.0,336228.5,,DE2
DE27C,"Gebr.Lang GmbH, Papierfabrik",Paper and printing,56138.0,215967.51,329.95,DE2
DE27D,Märker Holding GmbH,Cement,606291.0,879994.26,855.54,DE2
DE27D,Märker Zement GmbH,Cement,184586.0,,,DE2
DE40A,H.E.S.Hennigsdorfer Elektrostahlwerke GmbH,Iron and steel,94493.0,220750.12,21.34,DEE
DE409,CEMEX Zement GmbH,Cement,1266662.0,1986120.19,2068.87,DEE
DE409,Fels-Werke GmbH Kalkwerk Hornberg,Cement,237262.0,,,DEE
DE40C,ArcelorMittal Eisenhüttenstadt GmbH,Iron and steel,1564346.0,3654551.84,7426.61,DEE
DE401,B.E.S. Brandenburger Elektrostahlwerke GmbH,Iron and steel,156381.0,583049.39,34.73,DEE
DE80K,YARA Rostock Zweigniederlassung der YARA GmbH & Co. KG,Chemical industry,167522.0,,,DE9
DED52,Dow Europe Holding B.V.,Chemical industry,1296688.0,,,DEE
DED53,Stora Enso Sachsen GmbH,Paper and printing,164626.0,633329.8,967.58,DEE
DEE0B,Dow Olefinverbund GmbH,Chemical industry,86944.0,,,DEE
DEE0C,Schwenk Zement KG,Cement,672763.0,976474.3,949.35,DEE
