,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 D onwind,onwind,20.965,DE0 D,,,2020.0
DE0 D solar,solar,0.01134,DE0 D,,,2020.0
DE0 E onwind,onwind,6.18,DE0 E,,,2020.0
DE0 E solar,solar,0.040501,DE0 E,,,2020.0
DE0 F onwind,onwind,94.488,DE0 F,,,2020.0
DE0 F solar,solar,0.12457,DE0 F,,,2020.0
DE0 G onwind,onwind,7.904999999999999,DE0 G,,,2020.0
DE0 G solar,solar,0.0653099999999999,DE0 G,,,2020.0
DE0 1 onwind,onwind,1.137,DE0 1,,,2021.0
DE0 1 solar,solar,0.821686,DE0 1,,,2021.0
DE0 2 onwind,onwind,0.18,DE0 2,,,2021.0
DE0 2 solar,solar,0.492005,DE0 2,,,2021.0
DE0 4 onwind,onwind,16.6,DE0 4,,,2021.0
DE0 4 solar,solar,0.09068,DE0 4,,,2021.0
DE0 7 onwind,onwind,26.9,DE0 7,,,2021.0
DE0 7 solar,solar,0.07804,DE0 7,,,2021.0
DE0 8 onwind,onwind,22.88,DE0 8,,,2021.0
DE0 8 solar,solar,0.037567,DE0 8,,,2021.0
DE0 9 onwind,onwind,46.393,DE0 9,,,2021.0
DE0 9 solar,solar,0.410618,DE0 9,,,2021.0
DE0 A onwind,onwind,28.44804,DE0 A,,,2021.0
DE0 A solar,solar,1.87506,DE0 A,,,2021.0
DE0 B onwind,onwind,3.65,DE0 B,,,2021.0
DE0 B solar,solar,0.05875,DE0 B,,,2021.0
DE0 C onwind,onwind,2.25,DE0 C,,,2021.0
DE0 C solar,solar,0.04708,DE0 C,,,2021.0
DE0 D onwind,onwind,28.2,DE0 D,,,2021.0
DE0 D solar,solar,0.062608,DE0 D,,,2021.0
DE0 E onwind,onwind,15.35,DE0 E,,,2021.0
DE0 E solar,solar,0.0095,DE0 E,,,2021.0
DE0 F onwind,onwind,24.4,DE0 F,,,2021.0
DE0 F solar,solar,0.248615,DE0 F,,,2021.0
DE0 G onwind,onwind,16.537,DE0 G,,,2021.0
DE0 G solar,solar,0.0403,DE0 G,,,2021.0
DE0 1 onwind,onwind,2.4,DE0 1,,,2022.0
DE0 1 solar,solar,0.546755,DE0 1,,,2022.0
DE0 2 onwind,onwind,1.67,DE0 2,,,2022.0
DE0 2 solar,solar,1.837818,DE0 2,,,2022.0
