NUTS0_code,process,month,daytype,hour,load
IE,iron_and_steel,1,1,5,112.9022839
IE,iron_and_steel,1,1,6,112.9022839
IE,iron_and_steel,1,1,7,115.18922
IE,iron_and_steel,1,1,8,115.3115484
IE,iron_and_steel,1,1,9,115.4746529
IE,iron_and_steel,1,1,10,115.4746529
IE,iron_and_steel,1,1,11,115.4746529
IE,iron_and_steel,1,1,12,115.4746529
IE,iron_and_steel,1,1,13,115.4746529
IE,iron_and_steel,1,1,14,115.4746529
IE,iron_and_steel,1,1,15,115.3115484
IE,iron_and_steel,1,1,16,115.18922
IE,iron_and_steel,1,1,17,115.0668916
IE,iron_and_steel,1,1,18,115.0668916
IE,iron_and_steel,1,1,19,115.0668916
IE,iron_and_steel,1,1,20,115.0668916
IE,iron_and_steel,1,1,21,115.0668916
IE,iron_and_steel,1,1,22,115.0668916
IE,iron_and_steel,1,1,23,112.9022839
IE,iron_and_steel,1,1,24,112.9022839
IE,iron_and_steel,1,2,1,112.0285847
IE,iron_and_steel,1,2,2,112.0285847
IE,iron_and_steel,1,2,3,112.0285847
IE,iron_and_steel,1,2,4,112.0285847
IE,iron_and_steel,1,2,5,112.0285847
IE,iron_and_steel,1,2,6,112.0285847
IE,iron_and_steel,1,2,7,114.2978232
IE,iron_and_steel,1,2,8,114.419205
IE,iron_and_steel,1,2,9,114.5810473
IE,iron_and_steel,1,2,10,114.5810473
IE,iron_and_steel,1,2,11,114.5810473
IE,iron_and_steel,1,2,12,114.5810473
IE,iron_and_steel,1,2,13,114.5810473
IE,iron_and_steel,1,2,14,114.5810473
IE,iron_and_steel,1,2,15,114.419205
IE,iron_and_steel,1,2,16,114.2978232
IE,iron_and_steel,1,2,17,114.1764415
IE,iron_and_steel,1,2,18,114.1764415
IE,iron_and_steel,1,2,19,114.1764415
IE,iron_and_steel,1,2,20,114.1764415
IE,iron_and_steel,1,2,21,114.1764415
IE,iron_and_steel,1,2,22,114.1764415
IE,iron_and_steel,1,2,23,112.0285847
IE,iron_and_steel,1,2,24,112.0285847
IE,iron_and_steel,2,0,1,112.6731879
IE,iron_and_steel,2,0,2,112.6731879
IE,iron_and_steel,2,0,3,112.6731879
IE,iron_and_steel,2,0,4,112.6731879
IE,iron_and_steel,2,0,5,112.6731879
IE,iron_and_steel,2,0,6,112.6731879
IE,iron_and_steel,2,0,7,114.9554834
IE,iron_and_steel,2,0,8,115.0775636
IE,iron_and_steel,2,0,9,115.2403371
IE,iron_and_steel,2,0,10,115.2403371
IE,iron_and_steel,2,0,11,115.2403371
IE,iron_and_steel,2,0,12,115.2403371
IE,iron_and_steel,2,0,13,115.2403371
IE,iron_and_steel,2,0,14,115.2403371
IE,iron_and_steel,2,0,15,115.0775636
IE,iron_and_steel,2,0,16,114.9554834
IE,iron_and_steel,2,0,17,114.8334033
IE,iron_and_steel,2,0,18,114.8334033
IE,iron_and_steel,2,0,19,114.8334033
IE,iron_and_steel,2,0,20,114.8334033
IE,iron_and_steel,2,0,21,114.8334033
IE,iron_and_steel,2,0,22,114.8334033
IE,iron_and_steel,2,0,23,112.6731879
IE,iron_and_steel,2,0,24,112.6731879
IE,iron_and_steel,2,1,1,112.6731884
IE,iron_and_steel,2,1,2,112.6731884
IE,iron_and_steel,2,1,3,112.6731884
IE,iron_and_steel,2,1,4,112.6731884
IE,iron_and_steel,2,1,5,112.6731884
IE,iron_and_steel,2,1,6,112.6731884
IE,iron_and_steel,2,1,7,114.9554839
IE,iron_and_steel,2,1,8,115.0775641
IE,iron_and_steel,2,1,9,115.2403376
IE,iron_and_steel,2,1,10,115.2403376
IE,iron_and_steel,2,1,11,115.2403376
IE,iron_and_steel,2,1,12,115.2403376
IE,iron_and_steel,2,1,13,115.2403376
IE,iron_and_steel,2,1,14,115.2403376
IE,iron_and_steel,2,1,15,115.0775641
IE,iron_and_steel,2,1,16,114.9554839
IE,iron_and_steel,2,1,17,114.8334038
IE,iron_and_steel,2,1,18,114.8334038
IE,iron_and_steel,2,1,19,114.8334038
IE,iron_and_steel,2,1,20,114.8334038
IE,iron_and_steel,2,1,21,114.8334038
IE,iron_and_steel,2,1,22,114.8334038
IE,iron_and_steel,2,1,23,112.6731884
IE,iron_and_steel,2,1,24,112.6731884
IE,iron_and_steel,2,2,1,111.8012621
IE,iron_and_steel,2,2,2,111.8012621
IE,iron_and_steel,2,2,3,111.8012621
IE,iron_and_steel,2,2,4,111.8012621
IE,iron_and_steel,2,2,5,111.8012621
IE,iron_and_steel,2,2,6,111.8012621
IE,iron_and_steel,2,2,7,114.065896
IE,iron_and_steel,2,2,8,114.1870314
IE,iron_and_steel,2,2,9,114.3485453
IE,iron_and_steel,2,2,10,114.3485453
IE,iron_and_steel,2,2,11,114.3485453
IE,iron_and_steel,2,2,12,114.3485453
IE,iron_and_steel,2,2,13,114.3485453
IE,iron_and_steel,2,2,14,114.3485453
IE,iron_and_steel,2,2,15,114.1870314
IE,iron_and_steel,2,2,16,114.065896
IE,iron_and_steel,2,2,17,113.9447605
IE,iron_and_steel,2,2,18,113.9447605
IE,iron_and_steel,2,2,19,113.9447605
IE,iron_and_steel,2,2,20,113.9447605
IE,iron_and_steel,2,2,21,113.9447605
IE,iron_and_steel,2,2,22,113.9447605
IE,iron_and_steel,2,2,23,111.8012621
IE,iron_and_steel,2,2,24,111.8012621
IE,iron_and_steel,3,0,1,112.0184267
IE,iron_and_steel,3,0,2,112.0184267
IE,iron_and_steel,3,0,3,112.0184267
IE,iron_and_steel,3,0,4,112.0184267
IE,iron_and_steel,3,0,5,112.0184267
IE,iron_and_steel,3,0,6,112.0184267
IE,iron_and_steel,3,0,7,114.2874595
IE,iron_and_steel,3,0,8,114.4088302
IE,iron_and_steel,3,0,9,114.5706579
IE,iron_and_steel,3,0,10,114.5706579
IE,iron_and_steel,3,0,11,114.5706579
IE,iron_and_steel,3,0,12,114.5706579
IE,iron_and_steel,3,0,13,114.5706579
IE,iron_and_steel,3,0,14,114.5706579
IE,iron_and_steel,3,0,15,114.4088302
IE,iron_and_steel,3,0,16,114.2874595
IE,iron_and_steel,3,0,17,114.1660888
