country;NUTS0_ID;type_of_building;heating_equipment;year;datetime;price_index_households_appliances;labour_cost_index_construction_sector;equipment_and_maintenance_index;specific_investment_costs;equipment_cost_ share;installation_cost_share;fixed_O_and_M;variable_O_and_M;technical_lifetime;total_annual_net_efficiency;k1_specific_investment_costs;k2_specific_investment_costs;InCost_CAGR;k1_fixed_O_and_M;k2_fixed_O_and_M;;;;;
Slovakia;SK;existing MFH;Oil boiler;2015;01.01.2015 00:00;0.81;0.24;0.66;54;0.7;0.3;1;0.025;20;0.92;1286;-0.51;;39;-0.56;;;;;
Slovenia;SI;existing MFH;Oil boiler;2015;01.01.2015 00:00;0.88;0.3;0.73;60;0.7;0.3;1;0.025;20;0.92;1421;-0.51;;43;-0.56;;;;;
Spain;ES;existing MFH;Oil boiler;2015;01.01.2015 00:00;0.89;0.51;0.82;66;0.7;0.3;2;0.025;20;0.92;1562;-0.51;;48;-0.56;;;;;
Sweden;SE;existing MFH;Oil boiler;2015;01.01.2015 00:00;1.01;1.02;0.98;86;0.7;0.3;2;0.025;20;0.92;2039;-0.51;;57;-0.56;;;;;
United Kingdom;UK;existing MFH;Oil boiler;2015;01.01.2015 00:00;0.87;0.71;0.85;70;0.7;0.3;2;0.025;20;0.92;1654;-0.51;;50;-0.56;;;;;
Austria;AT;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.82;0.81;0.9;545;0.7;0.3;14;;20;0.88;2631;-0.51;;53;-0.56;;;;;
Belgium;BE;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.92;0.88;0.88;607;0.7;0.3;14;;20;0.88;2924;-0.51;;51;-0.56;;;;;
Bulgaria;BG;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.73;0.09;0.52;361;0.7;0.3;8;;20;0.88;1733;-0.51;;30;-0.56;;;;;
Croatia;HR;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.83;0.23;0.66;435;0.7;0.3;11;;20;0.88;2093;-0.51;;39;-0.56;;;;;
Cyprus;CY;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;1.02;0.36;0.73;547;0.7;0.3;12;;20;0.88;2647;-0.51;;43;-0.56;;;;;
Czech Republic;CZ;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.8;0.24;0.63;423;0.7;0.3;10;;20;0.88;2035;-0.51;;37;-0.56;;;;;
Denmark;DK;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;1;1;1;667;0.7;0.3;16;;20;0.88;3220;-0.51;;58;-0.56;;;;;
