snapshot,DE0 1,DE0 2,DE0 4,DE0 7,DE0 8,DE0 9,DE0 A,DE0 B,DE0 C,DE0 D,DE0 E,DE0 F,DE0 G
2013-11-04 11:00:00,11082.034073484137,15959.023810931549,3827.240764098941,6848.386394093697,1107.8694813338234,9034.02043626796,13067.233910506175,3858.874870730688,865.5160521153119,2665.572072849429,2162.867277665353,3154.701659966398,2587.538295956542
2013-11-04 12:00:00,11009.976326150065,15855.25483694706,3802.3552289943373,6803.856726240351,1100.6658778585288,8975.279310072994,12982.26797074865,3833.7836439229463,859.8882822868346,2648.239955148607,2148.803853678591,3134.189117447498,2570.7135705035316
2013-11-04 13:00:00,10795.56060294666,15546.47888396306,3728.3055923602724,6671.353820029353,1079.230766354627,8800.4886522901,12729.44250652335,3759.121949086717,843.1422364772034,2596.6663396948948,2106.9565945510262,3073.1517994400456,2520.6497562826826
2013-11-04 14:00:00,10616.9340719295,15289.242257287473,3666.615947975022,6560.967631308903,1061.3734956624223,8654.873170423842,12518.81739492868,3696.9224081705606,829.1913562593791,2553.7011322797166,2072.0942690701568,3022.302523018654,2478.9423416856926
2013-11-04 15:00:00,10580.985092089395,15237.47282385651,3654.2007721905497,6538.752169527606,1057.7796809000918,8625.567736386643,12476.428630799295,3684.404614594623,826.3837111192845,2545.0542903665983,2065.0781498590045,3012.0689949836674,2470.5486333267368
2013-11-04 16:00:00,10982.495321378194,15815.679971304664,3792.864514473529,6786.874235667975,1097.9186054443435,8952.876928247415,12949.864107426392,3824.2144837819988,857.7419930225541,2641.6299232385795,2143.4404189892266,3126.3661518442073,2564.297045180918
2013-11-04 17:00:00,10980.09872466077,15812.228678534313,3792.036836757398,6785.393206080545,1097.6790179873212,8950.923234225258,12947.03819210362,3823.3799648853033,857.554816831286,2641.0534675773274,2142.9726780868336,3125.683917193727,2563.737465076292
2013-11-04 18:00:00,10682.281348454782,15383.347611514979,3689.1839854744576,6601.350416317444,1067.9062542580546,8708.143953356768,12595.87077178244,3719.676982067555,834.2950327523055,2569.419174129032,2084.8480185302183,3040.90480851621,2494.200242845752
2013-11-04 19:00:00,10048.300990406544,14470.364709399268,3470.235419365473,6209.56832745267,1004.527321673171,8191.326239855585,11848.321217400118,3498.9186938339185,784.7806409919083,2416.927282663735,1961.1148336281801,2860.4308201979197,2346.1725031315113
2013-11-04 20:00:00,9421.031117706461,13567.045447978397,3253.604355882906,5821.933130417623,941.8192354214482,7679.9788814688645,11108.684243065458,3280.4970635737823,735.7903437025984,2266.049470547112,1838.6913260904723,2681.867093039867,2199.7115911050105
2013-11-04 21:00:00,8922.218959914648,12848.715667489018,3081.3368631762373,5513.681200133133,891.953049947604,7273.34962934156,10520.5164843265,3106.805691741299,696.8327004850878,2146.0697133481167,1741.3387564596908,2539.8711803975843,2083.244203239522
2013-11-04 22:00:00,8248.135506510067,11877.981070202537,2848.5384748869023,5097.116522550595,824.565016221386,6723.840066979016,9725.67989544475,2872.0831054480327,644.186223717528,1983.9317866596957,1609.7786986113888,2347.9811198445814,1925.8528129235185
2013-11-04 23:00:00,7698.036120807896,11085.79354067623,2658.55865897002,4757.170523155411,769.5716533532718,6275.401715367862,9077.037480222862,2680.533008975255,601.2230054647339,1851.6158643212325,1502.4164623188801,2191.3853691264526,1797.4103972398946
2013-11-05 00:00:00,7384.401191727538,10634.133920434726,2550.243129739362,4563.352929130348,738.2176109541598,6019.7280421007135,8707.219001627484,2571.322196376563,576.7278573878472,1776.1769600115047,1441.2047099688416,2102.1035076168732,1724.1799429240386
2013-11-05 01:00:00,7292.212017427732,10501.374066241444,2518.4050967980033,4506.382603757667,729.00147138638,5944.575874267207,8598.515356014772,2539.2210057738266,569.5278064171816,1754.0026112589967,1423.212259564351,2075.8601898950483,1702.654741197388
2013-11-05 02:00:00,7407.568307868678,10667.496438152632,2558.2440193498833,4577.669557460429,740.5336244922065,6038.6137628339875,8734.536200224848,2579.389217440706,578.5372283723087,1781.7493682341103,1445.7262081962685,2108.6984467104066,1729.5892206635378
