,bus,carrier,p_nom,year_removed
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,135.91,2050
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,4751.39,2049
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,186.11,2049
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2975.46,2049
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,116.55,2049
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,5718.8,2049
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,224.01,2049
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2831.26,2049
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,110.9,2049
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,4247.78,2048
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,144.15,2048
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2660.09,2048
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,90.27,2048
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,5112.66,2048
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,173.5,2048
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2531.18,2048
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,85.89,2048
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,3744.18,2047
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,108.26,2047
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2344.72,2047
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,67.8,2047
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,4506.52,2047
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,130.31,2047
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2231.09,2047
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,64.51,2047
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,3240.58,2046
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,72.38,2046
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2029.35,2046
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,45.33,2046
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,3900.38,2046
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,87.11,2046
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,1931.0,2046
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,43.13,2046
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,2736.97,2045
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,36.49,2045
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,1713.97,2045
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,22.85,2045
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,3294.24,2045
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,43.92,2045
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,1630.91,2045
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,21.75,2045
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,2233.37,2044
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,1398.6,2044
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,2688.1,2044
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,1330.82,2044
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,1729.77,2043
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,1083.23,2043
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,2081.96,2043
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,1030.74,2043
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,1299.15,2042
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,813.57,2042
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,1563.67,2042
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,774.14,2042
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,868.53,2041
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,543.9,2041
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,1045.37,2041
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,517.54,2041
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,437.92,2040
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,274.24,2040
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,527.08,2040
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,260.95,2040
